city,signal_onset_year,peak_year,total_articles,negative_article_pct,vol_2006,vol_2007,vol_2008,vol_2009,vol_2010,vol_2011,vol_2012,vol_2013,vol_2014,vol_2015,vol_2016,vol_2017,vol_2018,vol_2019,vol_2020,vol_2021,vol_2022,vol_2023,vol_2024,vol_2025,vol_2026
Amsterdam,2019,2019,16,43.8,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,2,2,1,1,0,0
Ashburn,2021,2021,17,58.8,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,2,2,2,1,0
Dublin,2020,2020,16,75.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,2,2,0,0
The Dalles,,2007,9,44.4,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0
