operator_name,website_url,sustainability_page_url,data_centers_page_url,about_page_url,city_name,country,wikipedia_page_title
amazon_web_services,https://aws.amazon.com,https://aws.amazon.com/sustainability/,https://aws.amazon.com/about/global-infrastructure/,https://aws.amazon.com/about/,Ashburn,United States,"Ashburn, Virginia"
equinix,https://www.equinix.com,https://www.equinix.com/resources/infopapers/equinix-2023-sustainability-report,https://www.equinix.com/data-centers/design/,https://www.equinix.com/about/,Amsterdam,Netherlands,Amsterdam
digital_realty,https://www.digitalrealty.com,https://www.digitalrealty.com/sustainability,https://www.digitalrealty.com/data-centers/,https://www.digitalrealty.com/company/about-digital-realty/,Dallas,United States,Dallas
microsoft,https://www.microsoft.com,https://www.microsoft.com/en-us/sustainability,https://azure.microsoft.com/en-us/global-infrastructure/datacenters/,https://www.microsoft.com/en-us/about,Boydton,United States,"Mecklenburg County, Virginia"
meta,https://engineering.fb.com,https://sustainability.fb.com,https://engineering.fb.com/data-center-engineering/,https://about.meta.com/,Forest City,United States,"Forest City, North Carolina"
google,https://www.google.com/about/datacenters/,https://sustainability.google,https://www.google.com/about/datacenters/,https://about.google/,The Dalles,United States,"The Dalles, Oregon"
iron_mountain,https://www.ironmountain.com,https://www.ironmountain.com/company/corporate-responsibility/environmental,https://www.ironmountain.com/services/data-centers,https://www.ironmountain.com/company/about-iron-mountain,Manassas,United States,"Ashburn, Virginia"
