Topic,Count,Name,Representation,Representative_Docs
16,76,16_tiktok_bytedance_oracle_us,"['tiktok', 'bytedance', 'oracle', 'us', 'trump', 'ban', 'tiktoks', 'owner', 'forced', 'sale']","['FCC Commissioner calls for ban on TikTok in US. Over concerns on how Beijing-based TikTok handles US user data', 'TikTok confirms it is using Oracle infrastructure in the US. Buzzfeed reports TikTok data will be in Oracle data center in Texas, but is on bare metal rather than Oracle Cloud', ""TikTok's ByteDance hiring for potential in-house server chips. Post Trump, TikTok plans for growth""]"
17,63,17_zayo_fiber_route_dark,"['zayo', 'fiber', 'route', 'dark', 'acquisition', 'markley', 'viatel', 'group', 'connecting', 'network']","['Data center and network provider Zayo to buy network business from energy company.', ""Zayo Group to acquire Germany's Globalways. Zayo expands its fiber offering in Europe"", 'Zayo launches Connect to the Cloud.']"
18,56,18_virtualization_vmworld_virtualisation_virtual,"['virtualization', 'vmworld', 'virtualisation', 'virtual', 'virtensys', 'server', 'madden', 'tracline', 'unintended', 'vdi']","['China state office signs contract for virtualization.', 'Virtualization roundup: News from VMworld and more.', 'The future of virtualization.']"
19,54,19_softlayer_unitedlayer_ibm_opens,"['softlayer', 'unitedlayer', 'ibm', 'opens', 'francisco', 'san', 'presence', 'density', 'adds', 'avenue']","['IBM opens SoftLayer center in Tokyo.', 'IBM opens SoftLayer data center in Mexico.', 'Report: SoftLayer up for sale.']"
20,52,20_jobs_cut_unions_workforce,"['jobs', 'cut', 'unions', 'workforce', 'cuts', 'telia', 'ericsson', 'spain', 'job', 'report']","['Charter Communications to cut more than 1,000 jobs. Jobs span a number of US states', 'Telefónica could cut up to 5,000 jobs in Spain - report. The carrier wants to cut costs', 'Telia to cut 500 jobs in Finland. Part of a wider plan to cut 3,000 jobs across various markets']"
21,52,21_white_space_we_talk,"['white', 'space', 'we', 'talk', 'about', 'editorial', 'team', 'and', 'episode', 'news']","['White Space 45: Waste not. This week we talk about energy efficiency and the rise of IoT', 'White Space 58: Friends and enemies. There’s no space this time, but watch this space, on White Space', 'White Space 4: Consequences. We are all about the follow-through in the White Space studio']"
22,51,22_eaton_power_management_electrical,"['eaton', 'power', 'management', 'electrical', 'ups', 'new', 'nordicepod', 'bladeups', 'powerware', 'aphel']","['Eaton puts power to test with new company data centers.', 'Eaton partners with Flexnode on modular data center infrastructure. Eaton will supply critical power backup racks and cable management technologies', 'Eaton launches new racks.']"
23,45,23_fabros_dupont_ashburn_chicago,"['fabros', 'dupont', 'ashburn', 'chicago', 'guidance', 'rackspace', 'clara', 'santa', '11ml', 'rebound']","['Rackspace takes DuPont Fabros space in Chicago.', 'Rackspace takes DuPont Fabros space in Chicago.', 'DuPont Fabros secures US$195m loan.']"
24,45,24_atos_origin_french_it,"['atos', 'origin', 'french', 'it', 'met', 'atampt', 'services', 'contract', 'gov', 'uk']","['Atos and UK Gov reach settlement on $1 billion Met Office supercomputer dispute. Atos Services UK Ltd v Secretary of State for Business, Energy, and Industrial Strategy and The Meteorological Office, comes to an end', ""French government acquires preferred share in Atos' supercomputing unit. As Atos divests Worldgrid energy division"", 'Atos signs -ú150m five-year infrastructure services program.']"
25,41,25_fcc_spectrum_auction_us,"['fcc', 'spectrum', 'auction', 'us', 'authority', 'broadband', 'delete', 'urges', 'lapse', 'dish']","['FCC updates rules to allow 70/80/90GHz spectrum band for ships and aircraft. Rule changes set to promote efficient use of spectrum, says FCC', 'FCC urges Congress to act swiftly to resolve spectrum lapse. The US Senate allowed the spectrum auction authority of the FCC to lapse last month', ""Two US Senators announce plan to help restore FCC's spectrum authority. It's been a year since the FCC's spectrum authority lapsed""]"
